Country code,Country name,2015,2014
AFG,AFGHANISTAN,5.4,5.4
AGO,ANGOLA,100.0,100.0
ARG,ARGENTINA,100.0,100.0
ARM,ARMENIA,65.0,65.0
ATG,ANTIGUA AND BARBUDA,100.0,100.0
AUS,AUSTRALIA,100.0,100.0
BDI,BURUNDI,6.7,6.7
BEN,BENIN,16.8,16.8
BFA,BURKINA FASO,39.4,39.4
BGD,BANGLADESH,36.8,36.8
BGR,BULGARIA,100.0,100.0
BHR,BAHRAIN,100.0,100.0
BHS,BAHAMAS,100.0,100.0
BLR,BELARUS,47.5,47.5
BLZ,BELIZE,100.0,100.0
BRA,BRAZIL,100.0,100.0
BTN,BHUTAN,14.2,14.2
CAF,CENTRAL AFRICAN REPUBLIC,2.4,2.4
CHL,CHILE,100.0,100.0
CIV,COTE D'IVOIRE,26.5,26.5
CMR,CAMEROON,13.1,13.1
COD,"CONGO, THE DRC",10.6,10.6
COG,CONGO,10.9,10.9
COL,COLOMBIA,100.0,100.0
COM,COMOROS,7.7,7.7
CRI,COSTA RICA,100.0,100.0
CUB,CUBA,99.0,99.0
CYP,CYPRUS,25.0,25.0
DJI,DJIBOUTI,0.0,0.0
DMA,DOMINICA,100.0,100.0
DZA,ALGERIA,100.0,100.0
ECU,ECUADOR,100.0,100.0
EGY,EGYPT,100.0,100.0
ERI,ERITREA,2.6,2.6
ETH,ETHIOPIA,8.4,8.4
FJI,FIJI,100.0,100.0
GAB,GABON,100.0,100.0
GEO,GEORGIA,57.5,57.5
GHA,GHANA,10.7,10.7
GIN,GUINEA,0.0,0.0
GMB,GAMBIA,15.9,15.9
GRD,GRENADA,100.0,100.0
GTM,GUATEMALA,100.0,100.0
GUY,GUYANA,56.8,56.8
HND,HONDURAS,45.2,45.2
HRV,CROATIA (LOCAL NAME: HRVATSKA),100.0,100.0
HUN,HUNGARY,100.0,100.0
IND,INDIA,100.0,100.0
IRN,IRAN (ISLAMIC REPUBLIC OF),100.0,100.0
ISL,ICELAND,100.0,100.0
JAM,JAMAICA,100.0,100.0
JOR,JORDAN,100.0,100.0
KHM,CAMBODIA,24.5,24.5
KNA,SAINT KITTS AND NEVIS,100.0,100.0
LAO,LAOS ,2.3,2.3
LBN,LEBANON,100.0,100.0
LBR,LIBERIA,8.4,8.4
LVA,LATVIA,100.0,100.0
MDG,MADAGASCAR,4.2,4.2
MHL,MARSHALL ISLANDS,2.3,2.3
MLI,MALI,12.3,12.3
MLT,MALTA,100.0,100.0
MMR,MYANMAR (Burma) ,55.6,55.6
MNG,MONGOLIA,74.5,74.5
MOZ,MOZAMBIQUE,30.3,30.3
MRT,MAURITANIA,15.0,15.0
MUS,MAURITIUS,100.0,100.0
NAM,NAMIBIA,100.0,100.0
NIC,NICARAGUA,19.4,19.4
NIU,NIUE,0.1,0.1
NLD,NETHERLANDS,100.0,100.0
NOR,NORWAY,100.0,100.0
NPL,NEPAL,44.9,44.9
NRU,NAURU,100.0,100.0
PAN,PANAMA,100.0,100.0
PER,PERU,100.0,100.0
PHL,PHILIPPINES,82.6,82.6
PNG,PAPUA NEW GUINEA,80.6,80.6
POL,POLAND,100.0,100.0
PRT,PORTUGAL,100.0,100.0
PRY,PARAGUAY,100.0,100.0
QAT,QATAR,100.0,100.0
ROU,ROMANIA,100.0,100.0
RWA,RWANDA,8.5,8.5
SAU,SAUDI ARABIA,100.0,100.0
SEN,SENEGAL,26.7,26.7
SLB,SOLOMON ISLANDS,46.2,46.2
SLV,EL SALVADOR,100.0,100.0
SOM,SOMALIA,0.0,0.0
STP,SAO TOME AND PRINCIPE,7.7,7.7
SYC,SEYCHELLES,59.6,59.6
SYR,SYRIAN ARAB REPUBLIC,100.0,100.0
TCD,CHAD,24.2,24.2
TGO,TOGO,24.6,24.6
THA,THAILAND,100.0,100.0
TJK,TAJIKISTAN,16.4,16.4
TLS,EAST TIMOR,26.4,26.4
TTO,TRINIDAD AND TOBAGO,100.0,100.0
TUN,TUNISIA,100.0,100.0
TZA,"TANZANIA, UNITED REPUBLIC OF",25.0,25.0
UZB,UZBEKISTAN,40.8,40.8
VCT,SAINT VINCENT AND THE GRENADINES,100.0,100.0
VEN,VENEZUELA,100.0,100.0
VNM,VIET NAM,33.8,33.8
WSM,SAMOA,100.0,100.0
YEM,YEMEN,15.4,15.4
ZAF,SOUTH AFRICA,100.0,100.0
